fid,cngdegrees,x,y
"0",0,-140.0258503950,60.2079611780
"0",0.000269495,-140.0255862545,60.2079077240
"0",0.00053899,-140.0253221139,60.2078542701
"0",0.000808485,-140.0250579734,60.2078008161
"0",0.00107798,-140.0247938328,60.2077473622
"0",0.001347475,-140.0245296923,60.2076939082
"0",0.00161697,-140.0242655517,60.2076404542
"0",0.001886465,-140.0240014112,60.2075870003
"0",0.00215596,-140.0237372706,60.2075335463
"0",0.002425455,-140.0234731301,60.2074800924
"0",0.00269495,-140.0232089895,60.2074266384
"0",0.002964445,-140.0229448490,60.2073731844
"0",0.00323394,-140.0226807084,60.2073197305
"0",0.003503435,-140.0224165679,60.2072662765
"0",0.00377293,-140.0221524273,60.2072128226
"0",0.004042425,-140.0218882868,60.2071593686
"0",0.00431192,-140.0217002757,60.2070342218
"0",0.004581415,-140.0219504620,60.2071343693
"0",0.00485091,-140.0221550694,60.2071048437
"0",0.005120405,-140.0219972273,60.2068864096
"0",0.0053899,-140.0219205695,60.2066291002
"0",0.005659395,-140.0220511747,60.2064079780
"0",0.00592889,-140.0220864548,60.2061862743
"0",0.006198385,-140.0218812352,60.2060171856
"0",0.00646788,-140.0216471723,60.2058837114
"0",0.006737375,-140.0214279237,60.2057279191
"0",0.00700687,-140.0212494333,60.2055273414
"0",0.007276365,-140.0210776539,60.2053196955
"0",0.00754586,-140.0209037322,60.2051140940
"0",0.007815355,-140.0208423602,60.2048533898
"0",0.00808485,-140.0208671210,60.2045859566
"0",0.008354345,-140.0209416774,60.2043276856
"0",0.00862384,-140.0209454662,60.2040654635
"0",0.008893335,-140.0207843859,60.2038626927
"0",0.00916283,-140.0205404375,60.2037555799
"0",0.00943232499999999,-140.0202722060,60.2037614435
"0",0.00970181999999999,-140.0200403963,60.2038717375
"0",0.00997131499999999,-140.0198320734,60.2039718203
"0",0.01024081,-140.0195704611,60.2039093145
"0",0.010510305,-140.0193298562,60.2037888872
"0",0.0107798,-140.0191035846,60.2036439207
"0",0.011049295,-140.0189424153,60.2034372819
"0",0.01131879,-140.0189149666,60.2031719916
"0",0.011588285,-140.0188946957,60.2029052572
"0",0.01185778,-140.0187241540,60.2027092874
"0",0.012127275,-140.0184697372,60.2026254081
"0",0.01239677,-140.0182036320,60.2026019253
"0",0.012666265,-140.0179434499,60.2026642501
"0",0.01293576,-140.0176774057,60.2027070566
"0",0.013205255,-140.0174119025,60.2027531774
"0",0.01347475,-140.0171485427,60.2028061763
"0",0.013744245,-140.0170717258,60.2029865416
"0",0.01401374,-140.0173191552,60.2030619796
"0",0.014283235,-140.0175119960,60.2028825434
"0",0.01455273,-140.0177713564,60.2028447934
"0",0.014822225,-140.0180205991,60.2029305152
"0",0.01509172,-140.0181827270,60.2031434885
"0",0.015361215,-140.0179751120,60.2032419325
"0",0.01563071,-140.0177062132,60.2032536768
"0",0.015900205,-140.0174377414,60.2032614383
"0",0.0161697,-140.0171687655,60.2032453901
"0",0.016439195,-140.0168997394,60.2032435322
"0",0.01670869,-140.0166306618,60.2032575395
"0",0.016978185,-140.0163686527,60.2033206170
"0",0.01724768,-140.0161026694,60.2033623497
"0",0.017517175,-140.0158384927,60.2034151273
"0",0.01778667,-140.0155761668,60.2034713796
"0",0.018056165,-140.0153070191,60.2034839963
"0",0.01832566,-140.0150375241,60.2034840647
"0",0.018595155,-140.0147680471,60.2034869917
"0",0.01886465,-140.0144986943,60.2034805016
"0",0.019134145,-140.0142798094,60.2033879541
"0",0.01940364,-140.0144373423,60.2031826878
"0",0.019673135,-140.0146331475,60.2029998151
"0",0.01994263,-140.0147595596,60.2027640717
"0",0.020212125,-140.0148666660,60.2025176215
"0",0.02048162,-140.0150682882,60.2023474623
"0",0.020751115,-140.0153121776,60.2022346985
"0",0.02102061,-140.0155670737,60.2021482961
"0",0.021290105,-140.0158260963,60.2020740711
"0",0.0215596,-140.0160857573,60.2020019854
"0",0.021829095,-140.0163485211,60.2019450036
"0",0.02209859,-140.0164512418,60.2020933044
"0",0.022368085,-140.0162476353,60.2022664080
"0",0.02263758,-140.0160351776,60.2024285383
"0",0.022907075,-140.0157889236,60.2025371201
"0",0.02317657,-140.0158995539,60.2026411268
"0",0.023446065,-140.0161663736,60.2026237608
"0",0.02371556,-140.0164295989,60.2025659681
"0",0.023985055,-140.0166928242,60.2025081754
"0",0.02425455,-140.0169546771,60.2024444787
"0",0.024524045,-140.0172164066,60.2023802508
"0",0.02479354,-140.0174784758,60.2023174257
"0",0.025063035,-140.0177412424,60.2022576633
"0",0.02533253,-140.0179885893,60.2021550809
"0",0.025602025,-140.0181778386,60.2019679604
"0",0.0258715200000001,-140.0182026225,60.2017177801
"0",0.0261410150000001,-140.0180790830,60.2014844426
"0",0.0264105100000001,-140.0182261626,60.2012969754
"0",0.0266800050000001,-140.0184912402,60.2012517876
"0",0.0269495000000001,-140.0187127656,60.2013284283
"0",0.0272189950000001,-140.0187138127,60.2015973143
"0",0.0274884900000001,-140.0188370094,60.2017889798
"0",0.0277579850000001,-140.0190938526,60.2017120461
"0",0.0280274800000001,-140.0193499514,60.2016281810
"0",0.0282969750000001,-140.0195373207,60.2014682982
"0",0.0285664700000001,-140.0193773678,60.2012726301
"0",0.0288359650000001,-140.0191755298,60.2010963226
"0",0.0291054600000001,-140.0191234532,60.2008377661
"0",0.0293749550000001,-140.0190875872,60.2005760751
"0",0.0296444500000001,-140.0189478315,60.2003490620
"0",0.0299139450000001,-140.0187296444,60.2001931427
"0",0.0301834400000001,-140.0185261606,60.2000205534
"0",0.0304529350000001,-140.0183269017,60.1998414747
"0",0.0307224300000001,-140.0180760291,60.1997450481
"0",0.0309919250000001,-140.0178080239,60.1997304171
"0",0.0312614200000001,-140.0175389677,60.1997457900
"0",0.0315309150000001,-140.0172739968,60.1997849843
"0",0.0318004100000001,-140.0170344486,60.1999025644
"0",0.0320699050000001,-140.0168162854,60.2000575025
"0",0.0323394000000001,-140.0165796240,60.2001855701
"0",0.0326088950000001,-140.0163230396,60.2002656619
"0",0.0328783900000001,-140.0160644025,60.2003396659
"0",0.0331478850000001,-140.0158370287,60.2004775646
"0",0.0334173800000001,-140.0156527344,60.2006740008
"0",0.0336868750000001,-140.0154107969,60.2007842151
"0",0.0339563700000001,-140.0151659062,60.2008956095
"0",0.0342258650000001,-140.0149800663,60.2010851530
"0",0.0344953600000001,-140.0148509810,60.2013211804
"0",0.0347648550000001,-140.0147414210,60.2015670014
"0",0.0350343500000001,-140.0145553927,60.2017521109
"0",0.0353038450000001,-140.0142897331,60.2017880914
"0",0.0355733400000001,-140.0140206408,60.2017774540
"0",0.0358428350000001,-140.0137526360,60.2017491520
"0",0.0361123300000001,-140.0134836398,60.2017378321
"0",0.0363818250000001,-140.0132169330,60.2017718135
"0",0.0366513200000001,-140.0130162084,60.2019050551
"0",0.0369208150000001,-140.0131997168,60.2020550833
"0",0.0371903100000001,-140.0134623973,60.2021129858
"0",0.0374598050000001,-140.0136144583,60.2022917526
"0",0.0377293000000001,-140.0134654262,60.2025030943
"0",0.0379987950000001,-140.0134144747,60.2027329692
"0",0.0382682900000001,-140.0135879749,60.2029329478
"0",0.0385377850000001,-140.0134134089,60.2030834926
"0",0.0388072800000001,-140.0131578270,60.2030247496
"0",0.0390767750000001,-140.0129504237,60.2028696619
"0",0.0393462700000001,-140.0126944415,60.2027856265
"0",0.0396157650000001,-140.0124430348,60.2026890361
"0",0.0398852600000001,-140.0122182965,60.2025496206
"0",0.0401547550000001,-140.0121426123,60.2023074535
"0",0.0404242500000001,-140.0118986735,60.2021999753
"0",0.0406937450000001,-140.0120203203,60.2019907583
"0",0.0409632400000001,-140.0119109734,60.2017643190
"0",0.0412327350000001,-140.0116762878,60.2016330498
"0",0.0415022300000001,-140.0114217430,60.2015462880
"0",0.0417717250000001,-140.0111626250,60.2014723217
"0",0.0420412200000001,-140.0108992488,60.2014163214
"0",0.0423107150000001,-140.0106760584,60.2012961424
"0",0.0425802100000001,-140.0104693858,60.2011535300
"0",0.0428497050000001,-140.0102082787,60.2010878536
"0",0.0431192000000001,-140.0099499710,60.2010110759
"0",0.0433886950000002,-140.0096896059,60.2009418767
"0",0.0436581900000002,-140.0094279603,60.2008778026
"0",0.0439276850000002,-140.0091760636,60.2007845185
"0",0.0441971800000002,-140.0089357969,60.2006625047
"0",0.0444666750000002,-140.0086907337,60.2005506728
"0",0.0447361700000002,-140.0084454376,60.2004391043
"0",0.0450056650000002,-140.0082010152,60.2003255911
"0",0.0452751600000002,-140.0079626633,60.2001999196
"0",0.0455446550000002,-140.0077159165,60.2000945026
"0",0.0458141500000002,-140.0074588056,60.2000137467
"0",0.0460836450000002,-140.0072069094,60.1999211716
"0",0.0463531400000002,-140.0071254619,60.1996703627
"0",0.0466226350000002,-140.0068720732,60.1996018110
"0",0.0468921300000002,-140.0066123942,60.1996660742
"0",0.0471616250000002,-140.0063715968,60.1997850358
"0",0.0474311200000002,-140.0061066430,60.1998044214
"0",0.0477006150000002,-140.0058415160,60.1997580354
"0",0.0479701100000002,-140.0055884857,60.1996671643
"0",0.0482396050000002,-140.0053393652,60.1995653302
"0",0.0485091000000002,-140.0050782450,60.1995002084
"0",0.0487785950000002,-140.0048307402,60.1995145635
"0",0.0490480900000002,-140.0050232926,60.1996852843
"0",0.0493175850000002,-140.0051214904,60.1998739648
"0",0.0495870800000002,-140.0048579873,60.1998941200
"0",0.0498565750000002,-140.0045932976,60.1999272518
"0",0.0501260700000002,-140.0046252679,60.2001397717
"0",0.0503955650000002,-140.0048284683,60.2002977845
"0",0.0506650600000002,-140.0050915659,60.2003553724
"0",0.0509345550000002,-140.0053584885,60.2003906566
"0",0.0512040500000002,-140.0056274450,60.2003914040
"0",0.0514735450000002,-140.0058966844,60.2003814193
"0",0.0517430400000002,-140.0061654960,60.2003973078
"0",0.0520125350000002,-140.0063692800,60.2005201982
"0",0.0522820300000002,-140.0061524197,60.2005993234
"0",0.0525515250000002,-140.0058848242,60.2005684464
"0",0.0528210200000002,-140.0056159389,60.2005538977
"0",0.0530905150000002,-140.0053541912,60.2006081168
"0",0.0533600100000002,-140.0054245960,60.2007844515
"0",0.0536295050000002,-140.0056895411,60.2008308650
"0",0.0538990000000002,-140.0059575440,60.2008591846
"0",0.0541684950000002,-140.0061976954,60.2009495167
